ID number,0,1,2,3,4,5,6,7,8,9
3802135,18.82,20,20,20,20,19.64,20,17,19,11
3803619,16.47,18.89,8,20,20,17.14,20,8,19,11
3802009,-,16,18.67,15.91,18.21,18.21,19.33,20,11.59,19
3804139,17.06,20,20,20,20,19.29,20,17,19,17
3800432,18.24,15,20,20,16.57,18.21,20,9,13.65,13
28625228,-,-,-,-,-,-,-,-,-,-
3876256,16.47,20,20,20,20,19.64,20,17,17,12
3800473,-,-,-,-,-,-,-,-,-,-
28502318,11.76,15,8.67,18.18,20,13.93,18.67,17,20,12
3702388,14.71,4.33,-,8.41,16.57,13.93,19.33,8.5,8.29,-
3802651,17.65,20,20,20,20,18.57,20,17,18.59,13
3416871,14.71,19,9,15,20,16.79,20,6,17.35,4
3671634,18.82,20,17.33,19.09,17.71,17.5,19.33,9,19.59,12
3700108,10.59,20,20,14.77,20,15.71,20,7,17.35,7
3410283,13.53,20,19,20,18.21,19.29,20,8.5,16.59,-
3802501,19.41,20,20,20,20,19.64,20,17,19,11
3803112,18.82,20,20,20,20,19.64,20,17,20,10
28710978,-,20,9.78,15.23,20,17.5,20,12,18.59,8
3701404,18.82,20,20,20,17.43,18.57,19.33,9,19,-
3700144,15.29,20,20,16.36,20,18.21,20,9,19.59,16
3804929,16.47,15,-,20,19.57,18.21,19.33,17,19,12
3802734,17.06,19,11.33,20,18.71,17.14,-,-,17,6
3208353,17.06,16,14.67,20,19.57,17.86,20,12,20,14
3710439,8.82,19,10.67,17.05,19.14,13.57,20,-,6.12,6
3670543,17.06,20,12,10.23,18,12.5,20,7,14.06,6
3806311,17.06,20,17.33,20,18.71,14.64,20,17,19,15
3710493,14.12,16.44,14.67,16.82,19.14,18.21,12,9,20,4
3671340,18.24,20,20,20,20,18.57,20,17,19,15
28717430,10.59,20,20,20,18.71,17.86,20,16.75,20,19
3677177,10.59,15,19.33,18.86,19.14,12.86,13.33,4.5,-,8
3670574,14.12,20,16,20,16.64,18.21,19.33,-,-,-
28616068,18.82,15,20,20,20,18.21,20,17,19,15
3670795,12.35,19,20,18.86,16.57,17.86,20,3,19,9
3801935,14.12,-,19.33,20,-,-,20,17,18.59,11
3680559,14.71,15,20,18.41,20,13.21,20,9,16.12,15
3677063,16.47,18,20,14.77,20,18.57,-,9,-,8
3672216,12.94,19,19.33,18.86,16.57,17.5,20,17,20,9
3677850,4.71,13.89,11.33,-,16,14.64,20,7,-,-
3971113,16.47,20,20,20,20,19.64,20,17,19,12
28616582,10.59,15,20,20,18.71,18.21,20,17,19,11
28507548,10,-,4.67,6.14,11.57,15,12,1.5,11.18,7
3802696,11.18,12.78,4.33,8.64,14.57,15,4.67,5,-,-
28717951,-,15,18.33,-,20,18.93,20,17,20,13
