ID number,0,1,2,3,4,5,6,7,8
3812573.0,19.30,-,19.78,18.54,-,19.27,16.83,16.41,-
28610484.0,-,19.57,19.07,16.88,20.00,19.15,17.56,12.27,-
28606227.0,-,-,-,-,-,-,-,13.89,-
3802791.0,20.00,-,-,16.99,-,-,12.93,-,-
21113025.0,19.02,-,-,-,-,-,-,-,-
21110432.0,19.30,19.46,20.00,19.27,-,18.55,17.56,18.64,20.00
28606489.0,-,14.36,-,-,-,18.18,-,10.81,15.95
3701350.0,20.00,16.13,18.26,17.33,-,-,15.61,8.54,7.12
28600748.0,17.93,17.97,17.44,16.61,16.70,19.05,15.37,10.56,14.37
3671406.0,18.95,19.46,19.31,17.57,18.93,18.80,16.59,9.90,15.90
3407195.0,-,-,-,-,-,-,-,-,-
28602178.0,17.58,-,-,-,-,-,-,-,-
3601270.0,19.65,19.05,17.56,19.02,19.42,18.91,18.05,15.81,8.20
28618735.0,-,-,-,-,-,-,-,-,-
28710546.0,19.65,17.78,-,-,-,-,-,16.64,13.45
28610319.0,-,19.43,17.28,19.02,20.00,18.98,17.32,16.01,15.56
3808688.0,-,18.62,-,17.27,19.42,19.52,14.15,-,-
3804270.0,17.93,17.03,-,18.56,-,18.33,-,-,15.91
28609148.0,18.60,-,-,-,-,-,-,-,-
3803860.0,15.47,0.00,-,-,-,-,16.34,10.45,12.83
28626848.0,-,-,-,-,-,-,-,-,-
21109634.0,-,-,-,-,-,-,-,-,-
28601465.0,-,19.19,-,-,20.00,-,17.56,16.41,-
28609336.0,-,17.00,15.09,-,-,-,-,-,12.61
3702933.0,-,-,-,-,19.06,19.64,-,5.56,-
21113008.0,-,16.40,-,-,-,-,-,-,-
28600163.0,20.00,-,19.30,-,19.06,19.27,16.34,-,-
28608499.0,17.58,-,-,15.67,17.99,19.15,15.61,14.55,-
21115553.0,20.00,18.51,-,-,-,19.64,-,12.22,16.14
28600786.0,-,-,-,-,-,-,-,-,-
3700196.0,20.00,-,-,-,-,-,-,-,-
28607963.0,-,19.86,-,-,19.42,-,16.59,-,19.89
3804630.0,19.33,-,19.70,18.05,19.29,17.85,16.10,18.69,13.93
21112712.0,-,-,-,-,-,-,-,-,-
3504377.0,-,-,-,-,-,-,-,-,-
28610440.0,14.07,17.84,20.00,-,-,-,16.83,11.57,15.39
28600291.0,20.00,-,-,-,19.78,-,-,-,-
3803479.0,17.61,-,-,17.34,17.90,17.83,15.37,8.33,13.10
28610730.0,19.65,-,18.71,16.34,-,0.00,18.54,11.62,16.10
3700648.0,16.14,-,-,-,-,-,16.83,-,-
3801962.0,15.44,18.46,16.85,15.25,19.42,18.18,14.88,-,-
21109706.0,-,13.77,-,14.66,-,17.36,13.66,6.62,-
28603394.0,20.00,18.65,19.22,-,18.57,18.93,10.98,-,18.94
28600844.0,18.95,14.46,19.12,-,-,-,-,-,-
3703308.0,14.77,-,19.89,12.27,-,-,-,-,12.08
28610497.0,20.00,15.53,17.98,16.69,14.55,18.91,17.56,9.85,15.84
28600211.0,-,-,19.43,-,18.71,18.55,-,10.61,-
21113695.0,-,-,-,-,-,-,-,-,-
21115204.0,-,18.51,17.17,13.29,15.98,19.27,15.12,10.00,-
28002307.0,20.00,-,-,-,-,-,16.10,12.73,-
3700560.0,-,-,-,-,-,-,-,-,-
3677063.0,-,-,-,17.46,17.96,18.75,8.05,11.62,11.90
3672216.0,-,-,-,-,-,-,-,-,-
21112734.0,20.00,19.05,19.89,19.02,19.29,18.91,17.56,10.61,17.16
28600665.0,-,-,-,-,-,-,-,-,-
28607480.0,11.30,-,-,-,-,-,-,-,-
28507548.0,-,-,-,16.15,-,-,-,12.58,-
3803162.0,-,-,19.61,18.29,19.29,19.40,16.34,-,-
28602627.0,19.65,17.41,16.64,15.90,18.35,18.55,14.63,13.48,15.61
21114737.0,15.44,13.82,19.18,17.56,-,-,-,-,-
3804195.0,20.00,16.03,19.77,18.10,19.29,18.18,18.29,13.06,17.53
3802503.0,18.95,12.59,16.86,16.21,13.94,17.45,11.95,12.22,12.90
28720090.0,19.30,19.19,19.89,17.07,19.29,19.64,17.80,11.34,16.10
3407463.0,19.02,17.03,18.13,-,-,19.64,16.10,-,-
3677161.0,-,19.19,-,-,18.93,19.27,17.07,18.38,15.99
28603418.0,20.00,18.65,-,17.56,-,-,15.61,-,17.11
28607538.0,20.00,17.30,19.70,15.40,19.42,18.91,13.66,14.44,15.71
3810013.0,-,-,-,19.04,-,19.27,-,12.32,-
21109700.0,-,-,17.25,-,18.71,18.91,-,-,-
28610199.0,-,-,-,-,20.00,18.55,-,-,-
3407716.0,-,18.05,16.96,15.68,18.93,16.75,16.10,16.97,-
3674474.0,10.09,13.84,16.27,-,16.53,-,15.12,-,-
28604190.0,20.00,19.00,16.68,15.64,18.35,18.43,15.12,-,15.00
3520680.0,-,-,-,-,-,-,-,-,-
21113747.0,18.67,16.76,19.89,17.80,18.35,19.27,18.05,9.39,15.98
3800028.0,17.84,16.76,18.64,18.42,19.29,19.64,17.07,10.51,15.36
28607117.0,17.23,16.70,19.03,18.39,20.00,-,14.63,-,-
3800075.0,15.82,-,-,-,-,-,-,-,-
28619891.0,-,-,20.00,-,-,-,14.63,-,14.84
3802719.0,-,-,-,-,-,-,-,-,-
3802466.0,-,-,-,-,-,-,-,-,-
3673536.0,-,-,-,-,-,-,-,-,-
3506467.0,-,-,-,-,-,-,-,-,-
28600653.0,18.60,-,-,-,19.64,-,15.85,-,-
28610514.0,20.00,-,0.00,-,16.92,-,-,-,-
28609831.0,20.00,-,-,-,-,-,-,-,14.85
3702385.0,-,-,-,-,-,-,-,-,-
28600759.0,-,-,-,-,-,-,-,-,-
28607831.0,18.25,-,-,-,-,-,-,-,-
28620112.0,20.00,17.66,19.78,18.15,16.92,18.56,17.56,17.58,17.45
28602386.0,-,19.05,18.71,18.54,18.93,18.55,17.07,12.58,13.48
3700630.0,-,-,-,17.08,17.99,18.57,-,-,15.50
28600769.0,-,20.00,20.00,18.54,-,18.98,14.63,14.90,10.42
28606830.0,18.98,18.22,16.87,-,-,-,15.85,14.65,-
28600492.0,18.60,18.01,16.92,16.80,19.29,19.27,17.32,15.40,15.72
28605022.0,-,-,18.48,-,18.71,19.64,15.12,-,-
3801873.0,-,-,-,-,-,-,-,11.92,15.29
3971371.0,-,-,-,-,-,-,-,-,-
28711440.0,-,17.43,15.45,18.15,-,17.78,12.93,13.79,16.00
3702996.0,-,-,19.42,-,18.71,17.62,-,-,-
28610207.0,-,-,-,-,-,-,-,-,-
28600464.0,19.02,15.01,15.54,-,-,-,19.27,12.98,-
28506638.0,18.60,18.62,17.84,13.90,18.35,-,-,13.74,-
3800477.0,0.00,0.00,-,-,-,-,-,-,-
28604304.0,20.00,16.95,19.50,19.04,18.62,19.27,17.07,15.56,16.10
3522807.0,-,-,-,-,-,-,-,-,-
28608396.0,18.63,-,17.09,16.88,20.00,18.18,19.27,12.12,15.14
3708782.0,20.00,15.57,19.89,18.78,19.29,-,16.59,14.19,14.33
28610448.0,20.00,16.46,18.04,17.19,-,19.27,15.12,12.83,19.29
3704090.0,-,-,-,-,-,-,-,-,-
28610117.0,20.00,17.57,-,18.59,19.06,-,-,-,-
28601953.0,-,-,-,17.82,19.42,-,16.59,9.49,15.48
28600470.0,-,-,-,-,-,-,17.32,-,12.61
3302184.0,-,-,-,-,-,-,-,-,-
28607314.0,14.04,-,-,19.27,-,-,-,-,-
3800583.0,15.09,-,-,-,-,-,-,-,-
3702809.0,-,14.05,19.51,17.57,-,18.55,14.63,12.20,14.99
3701883.0,20.00,-,20.00,18.31,19.29,-,16.34,-,15.82
21116436.0,17.53,0.00,16.00,18.30,18.95,18.93,12.93,18.74,-
28601301.0,18.28,17.03,7.77,-,18.57,19.64,15.12,-,-
28605864.0,20.00,17.24,17.05,-,-,17.27,-,-,-
3700453.0,18.28,-,19.81,-,-,-,-,12.63,-
3808875.0,20.00,17.25,-,-,-,19.64,-,9.67,-
21114731.0,19.30,14.22,18.38,17.37,18.71,19.40,19.27,-,16.00
28600559.0,20.00,17.88,19.81,18.05,18.84,19.64,16.10,14.70,-
3801610.0,-,-,-,-,-,-,-,-,15.52
28610130.0,-,17.84,-,-,19.29,17.16,-,-,-
28717594.0,20.00,18.49,19.89,17.80,19.29,19.64,16.34,16.31,-
28614924.0,-,16.03,18.51,16.85,20.00,17.45,-,-,12.60
3800162.0,14.16,18.62,19.89,16.96,19.42,19.27,19.27,16.82,16.10
21109170.0,14.42,16.49,-,14.98,1.07,-,16.10,18.18,12.57
3709743.0,17.19,-,-,-,19.42,-,-,-,14.42
21100776.0,20.00,-,-,-,17.99,16.55,14.39,10.00,15.80
28710229.0,13.40,-,-,-,-,-,-,-,-
3705179.0,-,-,-,-,-,-,-,-,-
3802257.0,19.65,-,0.00,-,-,17.76,12.20,-,-
28610667.0,18.98,17.81,19.89,-,18.97,-,16.34,-,15.57
3672320.0,-,18.51,-,-,-,19.27,16.34,10.20,10.66
28610190.0,-,18.24,-,16.55,19.55,19.52,-,14.14,-
21108842.0,18.60,0.00,-,-,-,-,-,-,-
3810768.0,20.00,17.84,19.81,18.54,18.21,-,-,13.69,17.40
3876023.0,18.25,-,-,-,-,-,-,-,-
28601393.0,20.00,-,-,-,-,-,-,-,-
28610187.0,-,-,-,19.04,-,-,-,-,16.49
3309154.0,18.98,-,-,-,-,-,-,-,-
28602292.0,-,-,-,-,-,-,-,-,-
3812676.0,-,16.00,19.12,17.68,19.64,17.55,-,-,17.73
28600563.0,-,-,-,-,-,-,-,-,-
28607223.0,0.00,16.62,-,15.20,18.93,18.55,-,15.66,-
28620155.0,18.60,14.35,19.31,18.25,19.42,17.22,15.85,-,15.75
3415756.0,-,11.94,16.59,15.97,17.83,17.82,15.37,15.45,13.10
3522190.0,20.00,18.92,-,-,-,20.00,-,19.14,16.00
28609645.0,20.00,16.43,-,19.02,-,-,-,13.91,19.91
28605064.0,-,-,16.70,18.39,20.00,18.47,-,-,14.26
28617603.0,19.65,17.84,19.22,0.00,19.64,17.64,16.34,12.12,10.77
28600712.0,20.00,19.46,19.78,17.82,19.29,19.82,17.56,18.23,16.00
28610127.0,20.00,-,19.49,-,-,-,-,12.98,19.80
28602563.0,-,-,-,-,-,-,-,-,-
28610328.0,20.00,0.00,-,18.05,19.64,-,14.15,13.64,18.90
28717871.0,-,17.38,15.33,18.29,19.64,19.64,14.63,15.40,12.17
28601343.0,-,15.35,19.20,15.90,18.71,19.27,17.07,10.45,13.71
3603679.0,-,19.19,19.66,-,19.29,-,-,15.96,16.00
3809215.0,-,-,19.10,-,-,19.52,17.07,11.72,14.32
3800646.0,0.00,17.68,19.20,-,18.90,-,-,-,17.25
28603036.0,18.60,14.00,14.68,18.05,18.71,18.57,16.34,13.38,15.91
3670527.0,-,-,-,-,-,-,-,-,-
21109001.0,-,15.44,19.59,16.61,18.93,19.27,15.37,15.66,17.33
28602830.0,-,18.92,-,16.51,-,-,-,7.37,-
3670280.0,-,-,-,-,-,-,-,-,-
28609129.0,-,-,-,-,-,-,-,-,-
28603833.0,-,-,-,-,-,-,-,-,-
28720778.0,19.91,-,19.42,19.02,18.93,9.12,14.88,-,1.13
3521154.0,-,-,-,-,-,-,-,-,-
3872127.0,-,18.51,-,-,-,-,-,-,-
21113646.0,-,1.08,19.16,18.79,19.64,-,15.85,-,-
28709864.0,20.00,16.43,-,-,-,-,-,-,-
21102696.0,18.25,19.86,19.72,19.02,19.42,18.55,16.83,18.18,19.95
3803961.0,-,-,-,-,-,-,-,-,-
28602191.0,19.65,16.38,-,-,19.20,-,-,-,-
28716807.0,19.33,-,-,-,-,-,-,12.37,-
21112855.0,19.65,-,-,-,-,-,-,-,-
28600602.0,17.93,-,18.76,18.30,-,-,-,10.10,9.40
3670244.0,-,-,-,-,-,-,-,-,-
3809224.0,19.65,16.04,-,-,-,-,-,-,-
21104636.0,20.00,18.78,17.28,17.80,19.29,19.64,16.10,-,15.50
28600518.0,16.91,15.58,19.31,15.91,17.54,17.41,16.10,17.22,15.53
21113317.0,15.44,-,-,-,-,12.30,-,-,-
28636372.0,-,15.24,18.03,17.08,18.21,17.91,17.07,14.39,-
28602737.0,20.00,-,18.73,17.60,19.29,18.18,17.32,16.62,15.20
28600880.0,20.00,18.11,20.00,-,20.00,19.27,17.56,17.07,20.00
28603735.0,15.26,17.84,19.78,19.27,-,-,17.56,13.18,17.57
3805942.0,20.00,18.49,18.69,16.15,-,18.91,17.07,-,16.19
28605296.0,-,-,-,18.56,-,-,-,-,-
3808834.0,-,-,-,-,18.93,-,-,10.76,-
28009976.0,20.00,19.30,19.70,-,18.57,18.55,16.59,-,8.78
3700903.0,18.95,18.20,18.79,17.21,-,19.64,16.10,13.74,-
28606375.0,19.65,17.31,19.70,14.41,18.71,18.06,16.34,13.69,17.35
21109006.0,-,-,-,-,-,-,-,-,-
2800282.0,-,-,-,10.94,14.78,8.93,15.37,9.49,-
28717408.0,-,18.49,-,-,-,-,-,-,19.91
28610100.0,-,18.89,-,15.32,-,-,-,-,-
28607006.0,-,19.55,18.10,-,16.34,19.27,-,11.41,15.67
21120079.0,14.81,-,-,14.39,19.64,18.91,-,-,-
28617513.0,18.25,14.11,12.60,15.52,15.71,17.09,-,11.31,9.94
3804652.0,-,-,-,-,-,-,-,-,-
21112391.0,20.00,-,17.85,16.47,18.57,-,15.85,-,-
3800992.0,19.65,-,19.57,-,17.63,19.64,17.07,12.32,15.32
28705217.0,8.07,-,-,-,-,0.00,15.61,-,15.91
28600503.0,19.33,-,19.29,-,18.21,-,16.10,15.40,-
3801541.0,18.98,-,-,18.29,-,19.64,16.59,11.77,-
21119283.0,0.00,-,-,14.92,-,17.02,-,15.35,-
28600456.0,-,19.86,-,19.02,18.93,19.52,3.90,12.53,12.90
28606343.0,-,-,-,-,-,-,-,-,-
28618173.0,20.00,19.30,-,-,-,-,-,11.11,19.91
28624752.0,-,-,-,-,-,-,-,-,-
3703339.0,16.84,-,17.80,16.87,18.35,-,-,-,-
21116094.0,-,-,-,-,-,18.91,-,-,-
28614980.0,-,16.22,15.43,19.76,18.35,-,-,9.55,15.95
3970693.0,-,-,-,-,-,-,-,-,-
28615820.0,20.00,-,19.31,19.27,-,-,-,-,-
28603688.0,0.00,16.97,14.11,14.85,19.48,-,10.73,-,-
2203537.0,-,8.42,-,-,-,-,-,-,-
28606345.0,20.00,19.46,19.49,17.27,19.64,19.64,17.32,12.98,20.00
3811248.0,-,-,19.61,16.72,17.41,-,16.10,10.20,-
28600150.0,19.65,16.22,18.49,17.38,18.71,18.55,15.61,17.25,-
3804657.0,-,-,-,-,-,-,-,-,-
3801327.0,17.93,-,-,-,-,-,-,-,-
21116827.0,-,-,-,-,-,-,-,-,-
3800191.0,18.95,15.05,19.21,17.43,17.77,18.73,13.90,10.76,5.14
28600741.0,17.54,17.57,17.84,19.02,19.64,19.64,-,15.18,9.54
28606994.0,17.93,17.14,-,-,-,-,16.10,13.18,-
28604113.0,-,-,-,-,-,-,-,-,-
3700044.0,-,-,-,-,-,-,-,-,-
21107392.0,20.00,17.57,-,-,13.07,-,-,-,-
28609954.0,-,19.05,19.70,17.56,-,17.34,-,15.91,15.66
21113585.0,20.00,-,19.89,-,-,17.89,-,-,-
28607755.0,19.65,-,19.53,18.25,-,19.35,-,15.40,-
28600693.0,18.28,18.86,-,17.33,19.64,18.91,17.56,-,17.63
28601765.0,20.00,18.35,-,-,-,18.31,-,-,13.11
3970759.0,-,-,17.20,14.11,14.88,13.52,13.90,-,-
28607704.0,-,-,18.92,17.69,19.06,20.00,15.61,12.27,17.58
28601009.0,-,-,-,-,-,-,-,-,-
3803083.0,17.54,-,-,-,-,-,16.59,13.13,-
28601285.0,20.00,18.17,18.83,-,19.64,18.55,16.83,12.37,15.90
3680880.0,-,-,18.92,-,18.93,-,17.80,-,-
21101133.0,20.00,17.97,17.17,17.08,19.64,18.55,16.83,13.71,15.41
3703980.0,20.00,19.46,18.13,18.27,19.64,18.93,14.88,15.03,8.65
,17.85,16.40,18.09,17.08,18.52,17.98,15.80,13.28,15.00
