country_code,country_name,city,postal,latitude,longitude,IPv4,state
FR,France,Arcueil,94110,48.7999,2.3326000000000002,91.160.99.188,Val-de-Marne
FR,France,Paris,75001,48.8628,2.3292,132.227.84.74,Paris
FR,France,,,48.8582,2.3387000000000002,91.211.66.167,
FR,France,Maisons,28700,48.4087,1.8437000000000001,78.196.175.81,Eure-et-Loir
FR,France,,,48.8582,2.3387000000000002,92.184.98.166,
FR,France,Paris,75001,48.8628,2.3292,134.157.26.51,Paris
FR,France,Vaires-sur-Marne,77360,48.8765,2.6398,93.0.186.140,Seine-et-Marne
FR,France,Clamart,92140,48.803,2.2669,176.151.229.29,Hauts-de-Seine
FR,France,Paris,75013,48.8322,2.3561,46.193.66.93,Paris
FR,France,Rochefort,17300,45.9333,-0.9833,88.126.66.224,Charente-Maritime
FR,France,,,48.8582,2.3387000000000002,93.23.12.22,
FR,France,Antony,92160,48.75,2.3,89.3.53.86,Hauts-de-Seine
FR,France,Boulogne-Billancourt,92100,48.8333,2.25,90.127.73.102,Hauts-de-Seine
FR,France,,,48.8582,2.3387000000000002,91.175.56.48,
FR,France,Pontoise,95300,49.05,2.1,91.160.134.247,Val d'Oise
FR,France,Saint-Julien-en-Genevois,74160,46.1443,6.0826,78.199.239.204,Haute-Savoie
FR,France,Paris,75008,48.8763,2.3183,85.68.85.224,Paris
FR,France,Suresnes,92150,48.8714,2.2293,87.88.187.222,Hauts-de-Seine
FR,France,Rouen,76000,49.4333,1.0833,88.167.39.32,Seine-Maritime
FR,France,Paris,75001,48.8628,2.3292,132.227.118.145,Paris
FR,France,Annecy,74000,45.9,6.1167,77.204.144.180,Haute-Savoie
FR,France,Paris,75001,48.8628,2.3292,132.227.118.147,Paris
FR,France,Listrac-Médoc,33480,45.0741,-0.7913,78.198.177.94,Gironde
FR,France,Paris,75014,48.8331,2.3264,83.202.247.237,Paris
FR,France,Paris,75001,48.8628,2.3292,134.157.53.41,Paris
FR,France,Roubaix,59100,50.6942,3.1746,77.204.245.147,North
FR,France,Paris,75001,48.8628,2.3292,134.157.254.96,Paris
FR,France,Paris,75001,48.8628,2.3292,132.227.118.148,Paris
FR,France,Paris,75001,48.8628,2.3292,134.157.15.21,Paris
FR,France,Paris,75003,48.8637,2.3615,176.175.48.126,Paris
FR,France,Massy,91300,48.7269,2.283,81.64.13.41,Essonne
FR,France,Chambly,60230,49.1667,2.25,213.245.170.149,Oise
FR,France,Créteil,94000,48.7833,2.4667,86.246.91.50,Val-de-Marne
FR,France,,,48.8582,2.3387000000000002,91.175.131.67,
FR,France,Elesmes,59600,50.3074,4.0102,88.126.81.90,North
FR,France,Corbeil-Essonnes,91100,48.606,2.4876,176.168.211.110,Essonne
FR,France,Paris,75020,48.8534,2.3487999999999998,46.193.1.190,Paris
FR,France,,,48.8582,2.3387000000000002,93.23.12.248,
FR,France,Paris,75015,48.8412,2.3003,176.159.59.14,Paris
FR,France,Saint-Die-des-Vosges,88100,48.2494,6.8995999999999995,93.22.132.188,Vosges
FR,France,Nieuil-l'Espoir,86340,46.4838,0.4552,78.198.72.191,Vienne
FR,France,Rive-de-Gier,42800,45.5275,4.6159,88.166.51.104,Loire
FR,France,,,48.8582,2.3387000000000002,91.175.155.185,
FR,France,Cachan,94230,48.7963,2.3366,86.247.173.218,Val-de-Marne
FR,France,Lizy-sur-Ourcq,77440,49.0245,3.0218,78.118.68.41,Seine-et-Marne
FR,France,Sartrouville,78500,48.9482,2.1917,90.90.46.245,Yvelines
FR,France,Lagny-sur-Marne,,48.8755,2.7075,93.4.85.37,Seine-et-Marne
FR,France,Elna,66200,42.6003,2.9715,88.165.199.149,Pyrénées-Orientales
FR,France,Saint-Amand-les-Eaux,59230,50.4472,3.4308,88.166.159.104,North
FR,France,Pau,64000,43.3,-0.3667,176.143.36.110,Pyrénées-Atlantiques
FR,France,Monteils,82300,44.1686,1.5760999999999998,88.160.204.21,Tarn-et-Garonne
FR,France,,,48.8582,2.3387000000000002,81.185.173.243,
FR,France,Paris,75001,48.8628,2.3292,132.227.78.123,Paris
FR,France,,,48.8582,2.3387000000000002,89.84.76.197,
FR,France,Paris,75018,48.8925,2.3444,80.215.133.53,Paris
FR,France,Pierrefitte-sur-Seine,93380,48.9669,2.3609999999999998,109.14.25.23,Seine-Saint-Denis
FR,France,,,48.8582,2.3387000000000002,37.164.229.18,
FR,France,Lamastre,07270,44.9855,4.5797,88.122.131.76,Ardèche
FR,France,Nanterre,92000,48.892,2.2067,37.170.163.250,Hauts-de-Seine
FR,France,Paris,75020,48.8534,2.3487999999999998,37.171.251.158,Paris
FR,France,Paris,75020,48.8534,2.3487999999999998,176.158.226.219,Paris
FR,France,Stains,93240,48.95,2.3833,93.29.225.69,Seine-Saint-Denis
FR,France,Saint-Jean-de-Braye,45800,47.913,1.9769999999999999,193.248.56.104,Loiret
FR,France,Paris,75012,48.8412,2.3876,77.141.193.208,Paris
FR,France,Levallois-Perret,92300,48.8939,2.2886,78.193.88.15,Hauts-de-Seine
FR,France,,,48.8582,2.3387000000000002,93.23.14.162,
US,United States,,,37.751,-97.822,23.90.200.94,
FR,France,,,48.8582,2.3387000000000002,93.23.12.6,
FR,France,Paris,75013,48.8322,2.3561,37.164.64.36,Paris
FR,France,Paris,75001,48.8628,2.3292,132.227.118.146,Paris
FR,France,Paris,75009,48.8718,2.3399,37.164.197.250,Paris
FR,France,Paris,75004,48.8601,2.3507,37.164.142.217,Paris
FR,France,Courbevoie,92400,48.8967,2.2567,81.67.16.216,Hauts-de-Seine
FR,France,Saint-Denis,93200,48.9333,2.3667,90.22.193.101,Seine-Saint-Denis
FR,France,Blois,41000,47.5833,1.3333,93.4.26.244,Loir-et-Cher
FR,France,Paris,75015,48.8412,2.3003,78.192.2.246,Paris
FR,France,Aulnay-sous-Bois,93600,48.9381,2.4939999999999998,37.171.95.80,Seine-Saint-Denis
FR,France,Paris,75017,48.8835,2.3219,80.215.73.5,Paris
FR,France,Anzin,59410,50.372,3.5039,93.22.39.134,North
FR,France,Paris,75019,48.8817,2.3822,46.193.0.163,Paris
FR,France,Fresnes,94260,48.7557,2.3224,176.186.142.113,Val-de-Marne
FR,France,Brunoy,91800,48.6942,2.4922,91.167.29.12,Essonne
FR,France,Paris,75003,48.8637,2.3615,94.228.185.34,Paris
FR,France,Sartrouville,78500,48.9482,2.1917,90.90.41.92,Yvelines
FR,France,Paris,75014,48.8331,2.3264,37.164.119.126,Paris
FR,France,Poitiers,86000,46.5833,0.3333,88.165.213.187,Vienne
FR,France,Paris,75019,48.8817,2.3822,92.169.45.74,Paris
FR,France,,,48.8582,2.3387000000000002,46.193.68.75,
FR,France,Paris,75001,48.8628,2.3292,134.157.25.207,Paris
FR,France,Paris,75017,48.8835,2.3219,37.173.86.211,Paris
FR,France,Paris,75018,48.8925,2.3444,80.215.198.34,Paris
FR,France,Bouaye,44830,47.1426,-1.6931,93.22.148.80,Loire-Atlantique
FR,France,Paris,75018,48.8925,2.3444,80.215.134.98,Paris
FR,France,Brétigny-sur-Orge,91220,48.6113,2.3059,176.134.18.88,Essonne
FR,France,,,48.8582,2.3387000000000002,37.172.184.217,
FR,France,Paris,75019,48.8817,2.3822,90.92.254.59,Paris
FR,France,,,48.8582,2.3387000000000002,176.165.152.50,
FR,France,,,48.8582,2.3387000000000002,78.123.95.36,
FR,France,Élancourt,,48.7842,1.9552,90.127.197.39,Yvelines
FR,France,Ivry-sur-Seine,94200,48.8157,2.3849,82.123.23.115,Val-de-Marne
